Acronym,Translation,Description
SOVT,Science Operations Verifications Tests,
SOW,Statement Of Work,
SPA,Stationary Phase Approximation,
SPC,Science Programme Committee,"The SPC is an ESA advisory body. The Council shall refer to SPC for any matter relating to the mandatory scientific programme. The SPC is following scientific projects from their selection to their execution, as well as forward-looking studies with a view to the preparation and selection of future p"
SQUID,Superconducting Quantum Interference Device,
SRD,System Requirement Document,
SRP,solar radiation pressure,
SRR,System Requirements Review,
SRS,spacecraft reference system,
SS,Sub-system,
SSAC,Space Science Advisory Committee,The Space Science Advisory Committee (SSAC) is the senior advisory body to the Director of Science (D/SCI) on all matters concerning space science included in the mandatory science programme of ESA. The Committee is the main interpreter of the views and needs of the European scientific community as
SSB,Solar System Barycenter,
SSC,Senior Science Committee,
SSEWG,Solar System and Exploration Working Group,The Solar System and Exploration Working Group (SSEWG) provide scientific advice mainly to the Space Science Advisory Committee (SSAC). The working group members are scientists from the ESA Member States with expertise in the specific disciplines covered by the SSEWG. The chair of the working group
SSRD,Space Segment Requirements Document,
SST,Science Study Team,
STE,Service Time Equivalent,
STM,Structural Model,"STM have all the structure, usually no or very limited functionality"
STOC,Science Technology Operations Centre,
STOM,Structural Optical Model,
STOP,Structural Thermo-Optical Performance,
STP,Science Topical Panel,
STR,Coarse Star Tracker,
SWT,Ngo Scence Working Team,
TA,Telescope Assembly,
TAA,Technical Assistance Agreement,
TAS,Thales-Alenia Aerospace Systems,
TBC,To Be Confirmed,
TBD,To Be Defined,
TBM,Trimming Balance Mass,
TBT,Thermal Balance Test,
TC,Telecommand,
TC/TM,Telecommand/Telemetry,
TCB,Barycentric Coordinate Time,
TCG,Geocentric Coordinate Time,
TCLS,Triple Core LockStep,
TCM,Trajectory Correction Manoeuvre,
TCS,Thermal Control Subsystem,
TCVR,Transceiver,
TDA,Technology Development Activities,
TDI,Time-Delay Interferometry,
TDI X,LISA's 2-arm configuration,
TDIR,Time Delay Interferometry Ranging,
TECC,Transient Event Coordination Committee,
THE,On-Board Clock Time,
TI,titanium,
TIA,Transimpedance Amplifiers,The photo current generated by the photodiode is converted to a voltage byva transimpedance amplifier (TIA) [from Maike's thesis]
TID,Total Ionising Dose,
TL,or TEL Telescope,
TM,"Test Mass, Often Proof Mass",
TM-I/F,test mass interface,
TM-OGSE,Test-Mass Optical Ground Equipment,
TM/TC,Tele Measure/Tele Command,
TMI,test mass interferometer,
TMTC,Telemetry and Telecommand,
TN,Technical Note,
TNID,Total Non-Ionizing Dose,
TNO,Nederlandse Organisatie voor Toegepast Natuurwetenschappelijk Onderzoek,
TOBA,Telescope & Optical Bench Assembly,
TOGA,"Telescope, Optical Bench & GRS Assembly",
TP,Transfer Phase,
TPS,Spacecraft Proper Time,
TRA,Technology Readiness Assessment,
TRB,Test Review Board,
TRIP,Technical Readiness and Implementation Plan,
TRL,Technology Readiness Level,
TRP,Temperature Reference Points,
TRR,Test Readiness Review,
TS,Telescope,
TSP,Temporal and Spatial Partitioning,
TT&C,"Telemetry, Tracking, And Command",
TTL,Tilt-to-Length,
TVAC,Thermal Vacuum,
TVT,Thermal Vacuum Test,
TWTA,Traveling-Wave Tube Amplifier,
TX,Transmission,
TX,Transmitted Laser (main laser in OB),
UART,Universal Asynchronous Receiver Transmitter,
UCB,Ultra-Compact Binaries,
ULU,UV Light Unit,
ULX,Ultra-Luminous X-ray source,
URL,Uniform Resrouce Locator,
USO,Ultra-Stable Oscillator,
UTC,Coordinated Universal Time,
UV,Ultra-Violet,
V&V,Verification and Validation,
VAST,Variables And Slow Transients,An Askap Survey For Variables And Slow Transients Is A Survey Science Project For The Australian Ska Pathfinder
VB,Verification Binary,
VC,Vacuum Chamber,
VE,Vacuum Enclosure,
VGB,Verification Galactic Binary,
VIRGO,Virgo,
VLBI,Very-long-baseline interferometry,
VMS,Very Massive  Star,
VP,Verification Program,
W,tungsten,
WAVWG,Waveform Working Group,
WBS,Work Breakdown Structure,
WD,White Dwarf,
WFE,Wave Front Error,
WG,Working Group,
WMAP,Wilkison Microwave Anisotropy Probe,
WP,Work Package,
WPS,Work Packages,
WR,Wide Range,"[PDD] The GRS FEE is based on the 100 kHz capacitive sensing and audio-frequency actuation unit used in LPF. It has both High Resolution (HR) and Wide Range (WR) modes, offering, respectively, science mode operation with small displacements (up to 100 _m) and actuation forces (several nN) and a test"
WSB,Weak Stability Boundary,
XDA,X-band Downlink Assembly,
XGNSB,Extragalactic Neutron Star Binary,
XML,Extensible Markup Language,
XMRI,extremely mass-ratio inspiral,
YB,ytterbium,
ZIFO,Zerudur Interferomenter,
ZTF,Zwicky Transient Facility,
